client_ip,url,timestamp,previousTimestamp,is_new_session,globalSessionID,userSessionID
1.186.101.79,https://paytm.com:443/shop/wallet/balance?channel=web&version=2,2015-07-22T03:45:55.881-07:00,"",1,1,1
1.186.101.79,https://paytm.com:443/shop/wallet/txnhistory?page_size=10&page_number=0&channel=web&version=2,2015-07-22T03:45:55.885-07:00,2015-07-22T03:45:55.881-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/v1/frequentorders?channel=web&version=2,2015-07-22T03:46:27.839-07:00,2015-07-22T03:45:55.885-07:00,0,1,1
1.186.101.79,https://paytm.com:443/papi/v1/expresscart/verify,2015-07-22T03:46:56.591-07:00,2015-07-22T03:46:27.839-07:00,0,1,1
1.186.101.79,https://paytm.com:443/api/v1/expresscart/checkout?wallet=1,2015-07-22T03:47:01.782-07:00,2015-07-22T03:46:56.591-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/summary/1116587591,2015-07-22T03:47:06.893-07:00,2015-07-22T03:47:01.782-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/cart?channel=web&version=2,2015-07-22T03:47:07.616-07:00,2015-07-22T03:47:06.893-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/orderdetail/1116587591?channel=web&version=2,2015-07-22T03:47:07.844-07:00,2015-07-22T03:47:07.616-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/orderdetail/1116587591?channel=web&version=2,2015-07-22T03:47:18.072-07:00,2015-07-22T03:47:07.844-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/orderdetail/1116587591?channel=web&version=2,2015-07-22T03:47:28.084-07:00,2015-07-22T03:47:18.072-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/orderdetail/1116587591?channel=web&version=2,2015-07-22T03:47:38.076-07:00,2015-07-22T03:47:28.084-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/action,2015-07-22T03:47:38.352-07:00,2015-07-22T03:47:38.076-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/summary/1116587591,2015-07-22T03:47:51.042-07:00,2015-07-22T03:47:38.352-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/cart?channel=web&version=2,2015-07-22T03:47:52.170-07:00,2015-07-22T03:47:51.042-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/orderdetail/1116587591?channel=web&version=2,2015-07-22T03:47:52.328-07:00,2015-07-22T03:47:52.170-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/orderdetail/1116587591?channel=web&version=2,2015-07-22T03:48:02.545-07:00,2015-07-22T03:47:52.328-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/orderdetail/1116587591?channel=web&version=2,2015-07-22T03:48:12.906-07:00,2015-07-22T03:48:02.545-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/orderdetail/1116587591?channel=web&version=2,2015-07-22T03:48:22.503-07:00,2015-07-22T03:48:12.906-07:00,0,1,1
1.186.101.79,https://paytm.com:443/shop/action,2015-07-22T03:48:22.815-07:00,2015-07-22T03:48:22.503-07:00,0,1,1
